testId,method,arraySize,subsetSize,repetitionId,beginTestTicks,endTestTicks,elapsedTicks,elapsedMilliseconds
0,sorting,10000,307,1,638896093623567768,638896093623598348,30580,3.058
0,heap,10000,307,1,638896093623600463,638896093623631091,30628,3.0628
0,sorting,10000,307,2,638896093623633008,638896093623663704,30696,3.0696
0,heap,10000,307,2,638896093623665563,638896093623696513,30950,3.095
0,sorting,10000,307,3,638896093623698400,638896093623728834,30434,3.0434
0,heap,10000,307,3,638896093623730716,638896093623761311,30595,3.0595
0,sorting,10000,307,4,638896093623763241,638896093623794054,30813,3.0813
0,heap,10000,307,4,638896093623795933,638896093623826746,30813,3.0813
0,sorting,10000,307,5,638896093623828639,638896093623859871,31232,3.1232
0,heap,10000,307,5,638896093623861821,638896093623892539,30718,3.0718
0,sorting,10000,307,6,638896093623894550,638896093623928238,33688,3.3688
0,heap,10000,307,6,638896093623930714,638896093623963903,33189,3.3189
0,sorting,10000,307,7,638896093623966299,638896093623997400,31101,3.1101
0,heap,10000,307,7,638896093623999380,638896093624030358,30978,3.0978
0,sorting,10000,307,8,638896093624032562,638896093624063165,30603,3.0603
0,heap,10000,307,8,638896093624065060,638896093624095664,30604,3.0604
0,sorting,10000,307,9,638896093624259556,638896093624290311,30755,3.0755
0,heap,10000,307,9,638896093624292280,638896093624323444,31164,3.1164
0,sorting,10000,307,10,638896093624325308,638896093624356588,31280,3.128
0,heap,10000,307,10,638896093624359689,638896093624394526,34837,3.4837
0,sorting,10000,307,11,638896093624396774,638896093624429827,33053,3.3053
0,heap,10000,307,11,638896093624432081,638896093624463363,31282,3.1282
0,sorting,10000,307,12,638896093624465039,638896093624495570,30531,3.0531
0,heap,10000,307,12,638896093624497352,638896093624528448,31096,3.1096
0,sorting,10000,307,13,638896093624530069,638896093624561366,31297,3.1297
0,heap,10000,307,13,638896093624563013,638896093624593971,30958,3.0958
0,sorting,10000,307,14,638896093624595669,638896093624626324,30655,3.0655
0,heap,10000,307,14,638896093624627924,638896093624658744,30820,3.082
0,sorting,10000,307,15,638896093624660403,638896093624691253,30850,3.085
0,heap,10000,307,15,638896093624692911,638896093624724072,31161,3.1161
0,sorting,10000,307,16,638896093624725681,638896093624756477,30796,3.0796
0,heap,10000,307,16,638896093624758086,638896093624788933,30847,3.0847
0,sorting,10000,307,17,638896093624790612,638896093624823429,32817,3.2817
0,heap,10000,307,17,638896093624825604,638896093624856779,31175,3.1175
0,sorting,10000,307,18,638896093624858598,638896093624891467,32869,3.2869
0,heap,10000,307,18,638896093624894625,638896093624933235,38610,3.861
0,sorting,10000,307,19,638896093624936348,638896093624967623,31275,3.1275
0,heap,10000,307,19,638896093624969473,638896093625000351,30878,3.0878
0,sorting,10000,307,20,638896093625002066,638896093625032978,30912,3.0912
0,heap,10000,307,20,638896093625034640,638896093625065273,30633,3.0633
0,sorting,10000,619,1,638896093625066911,638896093625097795,30884,3.0884
0,heap,10000,619,1,638896093625101002,638896093625131892,30890,3.089
0,sorting,10000,619,2,638896093625135013,638896093625165675,30662,3.0662
0,heap,10000,619,2,638896093625168744,638896093625199349,30605,3.0605
0,sorting,10000,619,3,638896093625202489,638896093625233230,30741,3.0741
0,heap,10000,619,3,638896093625236254,638896093625267396,31142,3.1142
0,sorting,10000,619,4,638896093625270432,638896093625301522,31090,3.109
0,heap,10000,619,4,638896093625304586,638896093625341473,36887,3.6887
0,sorting,10000,619,5,638896093625346378,638896093625382678,36300,3.63
0,heap,10000,619,5,638896093625389603,638896093625420860,31257,3.1257
0,sorting,10000,619,6,638896093625424748,638896093625472811,48063,4.8063
0,heap,10000,619,6,638896093625477090,638896093625549896,72806,7.2806
0,sorting,10000,619,7,638896093625554047,638896093625603214,49167,4.9167
0,heap,10000,619,7,638896093625606548,638896093625655081,48533,4.8533
0,sorting,10000,619,8,638896093625658472,638896093625706117,47645,4.7645
0,heap,10000,619,8,638896093625708990,638896093625757038,48048,4.8048
0,sorting,10000,619,9,638896093625759822,638896093625807192,47370,4.737
